"","College","Region","lon","lat","State","year","fulltime","parttime","international","SOC","female","retention","graduation","tuition","rank","endowment"
"26","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2013",1791,0,6.47682858738135,20.4355108877722,50.3070910106086,94,92,58950,22,234
"27","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2014",1773,0,6.8809926677947,20.4737732656514,50.4,94,94,60720,22,264
"28","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2015",1792,0,5,21.0379464285714,50.7,93,93,62540,19,262
"29","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2016",1780,0,6.85393258426966,23.0898876404494,50.5056179775281,94,88,64500,25,251
"30","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2017",1787,0,7.38668158925574,21.7683268047006,50.6435366536094,94,88,66720,27,294
"31","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2008",1312,76,6.12391930835735,11.1671469740634,56.7073170731707,NA,NA,38236,NA,132
"32","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2009",1346,61,7.32054015636105,10.8742004264392,57.0579494799406,90,79,40248,NA,104
"33","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2010",1324,73,9.09090909090909,15.8911954187545,57.02416918429,89,78,42202,62,108
"34","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2011",1319,66,9.96389891696751,17.9061371841155,58.7566338134951,89,85,44176,55,115
"35","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2012",1261,69,10.2255639097744,16.9242089771891,59.1593973037272,89,77,46336,60,117
"36","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2013",1254,52,9.11179173047473,17.687595712098,58.9314194577352,88,76,48506,63,132
"37","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2014",1249,54,8.56685348278623,18.1120491174213,57.3,89,78,49970,59,145
"38","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2015",1296,62,9.1,20.3240058910162,54.9,89,78,52940,61,149
"39","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2016",1337,57,14.6050670640835,21.4605067064083,53.6275243081526,89,80,55206,61,142
"40","Beloit (WI)","Midwest",-89.0330935,42.5030333,"WI","2017",1346,56,15.9771754636234,24.3937232524964,52.5260029717682,89,82,57142,62,154
"41","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2008",1719,4,2.95995356935578,27.3940800928613,51.2507271669575,NA,NA,48570,NA,831
"42","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2009",1771,6,3.48902644907147,28.7563308947665,51.0446075663467,98,89,50900,NA,688
"43","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2010",1755,7,3.6322360953462,30.7037457434733,50.4843304843305,98,91,52880,6,754
"44","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2011",1773,5,4.04949381327334,30.3149606299213,49.2949802594473,98,94,54470,6,904
"45","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2012",1831,8,4.24143556280587,30.7775965198477,49.7542326597488,97,93,56128,6,902
"46","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2013",1791,4,4.79108635097493,30.4735376044568,49.6929089893914,96,92,57834,6,1039
"47","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2014",1805,3,5.15235457063712,30.4203539823009,50,96,96,59568,4,1216
"48","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2015",1794,5,5,31.5175097276265,49.7,96,93,61354,5,1393
"49","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2016",1801,5,4.84391819160388,28.9020452099031,49.9722376457524,97,93,63500,4,1340
"50","Bowdoin (ME)","Northeast",-70.0395952,44.058008,"ME","2017",1813,3,5.01101321585903,31.773127753304,49.9724214009928,97,93,65980,6,1456
"51","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2008",1266,21,6.99300699300699,21.5229215229215,100,NA,NA,48060,NA,668
"52","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2009",1283,24,10.0229533282326,23.8714613618975,100,94,84,50034,NA,522
"53","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2010",1283,6,12.3351435221102,31.4972847168348,100,94,86,51780,25,574
"54","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2011",1289,24,15.9177456207159,30.6169078446306,100,93,80,53714,30,671
"55","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2012",1309,13,19.7258187357197,32.1482602118003,100,93,87,55586,25,645
"56","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2013",1315,13,22.8915662650602,29.8192771084337,100,92,87,57760,26,711
"57","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2014",1291,17,24.3222308288149,34.480122324159,100,92,92,59890,30,854
"58","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2015",1132,14,23.6,32.3179791976226,100,91,84,61990,27,853
"59","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2016",1361,20,22.8819695872556,33.091962346126,100,91,82,64160,25,797
"60","Bryn Mawr (PA)","Northeast",-75.3174228,40.0281065,"PA","2017",1325,9,22.7136431784108,33.0584707646177,99.9245283018868,92,85,66410,31,846
"61","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2008",3605,19,3.28366445916115,10.7064017660044,52.7323162274619,NA,NA,48380,NA,555
"62","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2009",3587,20,3.29914056002218,9.9805932908234,51.68664622247,95,89,50320,NA,443
"63","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2010",3488,20,4.16191562143672,11.8871151653364,51.2614678899083,95,89,52280,30,491
"64","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2011",3530,24,5.00844119302195,12.6336522228475,51.3881019830028,95,90,54240,30,575
"65","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2012",3515,21,5.20361990950226,13.8574660633484,52.2332859174964,94,91,56190,29,599
"66","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2013",3504,28,5.71913929784824,15.2038505096263,52.1404109589041,94,91,58160,32,667
"67","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2014",3538,27,5.28547201808932,15.3997194950912,51.9,94,94,60140,32,751
"68","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2015",3533,36,5.5,17.3718128327263,52.1,94,91,62368,32,789
"69","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2016",3530,41,6.55278633436012,18.1181741809017,50.6232294617564,94,89,64616,32,722
"70","Bucknell (PA)","Northeast",-76.8871265,40.9547268,"PA","2017",3585,26,6.31404043201329,19.5790639711991,50.5718270571827,94,90,67136,32,801
"71","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2008",1983,0,6.10186585980837,20.7766011094302,52.0423600605144,NA,NA,48039,NA,648
"72","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2009",1996,13,7.46640119462419,20.358387257342,51.6032064128257,97,93,50205,NA,517
"73","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2010",1996,24,8.01980198019802,21.1881188118812,51.4529058116233,97,93,52110,8,563
"74","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2011",2002,16,8.32507433102081,22.001982160555,52.1478521478521,97,92,54180,8,653
"75","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2012",2037,18,8.61313868613139,22.287104622871,52.8718703976436,97,93,55998,6,646
"76","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2013",2025,20,8.50222441917944,24.3031784841076,52.8395061728395,97,93,58149,8,701
"77","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2014",2044,13,9.24657534246575,23.869713174526,52.3,97,94,60102,7,793
"78","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2015",1997,17,10.4,24.1310824230387,51.5,97,92,62046,8,783
"79","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2016",2087,18,9.8812351543943,25.7007125890736,50.7426928605654,97,93,64071,8,738
"80","Carleton (MN)","Midwest",-93.1580358,44.463185,"MN","2017",2055,23,9.96150144369586,26.0827718960539,51.338199513382,97,95,66414,7,828
"81","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2008",1212,0,5.85808580858086,27.6402640264026,45.957095709571,NA,NA,48990,NA,528
"82","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2009",1216,2,6.40394088669951,23.8095238095238,45.0657894736842,96,89,51035,NA,400
"83","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2010",1256,5,6.97858842188739,24.9008723235527,46.4968152866242,96,94,53230,11,466
"84","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2011",1293,8,9.37740199846272,27.8247501921599,47.6411446249033,96,93,55865,11,543
"85","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2012",1260,4,12.8164556962025,29.8259493670886,47.6190476190476,96,93,58065,9,521
"86","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2013",1312,4,14.6656534954407,33.8905775075988,48.3993902439024,96,91,60010,10,599
"87","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2014",1298,3,16.5639445300462,33.5126825518832,48.2,95,92,62215,9,699
"88","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2015",1326,2,16.6,34.9397590361446,48.9,96,93,64325,8,734
"89","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2016",1346,1,17.2234595397179,35.0408314773571,48.8112927191679,96,90,66685,9,709
"90","Claremont/Mc (CA)","West",-117.7101106,34.1017767,"CA","2017",1337,1,16.7414050822123,36.0986547085202,47.8683620044877,96,92,69045,9,784
"91","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2008",1847,0,5.36004331348132,13.4813210611803,54.0877097996752,NA,NA,48520,NA,600
"92","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2009",1838,0,5.33188248095756,14.5266594124048,54.0261153427639,93,87,50320,NA,453
"93","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2010",1825,0,5.42465753424658,15.7808219178082,53.972602739726,94,90,51990,22,502
"94","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2011",1815,0,6.33608815426997,15.702479338843,52.9476584022039,94,88,53800,23,611
"95","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2012",1863,0,6.54857756307032,17.7133655394525,54.6430488459474,95,90,55700,21,600
"96","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2013",1820,0,8.51648351648352,19.6703296703297,51.978021978022,95,91,57510,18,650
"97","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2014",1847,0,10.61180292366,20.1949106659448,53,95,90,59500,22,741
"98","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2015",NA,0,NA,NA,NA,94,93,61730,15,746
"99","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2016",NA,0,NA,NA,NA,94,90,64060,19,711
"100","Colby (ME)","Northeast",-69.6648249,44.5638691,"ME","2017",1917,0,10.3286384976526,23.5263432446531,52.1648408972353,93,94,66220,12,775
"101","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2008",2805,31,4.79548660084626,18.3004231311707,51.5864527629234,NA,NA,49170,NA,704
"102","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2009",2800,25,5.06194690265487,17.8407079646018,53.1071428571429,94,90,50940,NA,561
"103","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2010",2868,16,6.06796116504854,18.5506241331484,53.1729428172943,94,91,52060,19,614
"104","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2011",2926,21,6.68476416694944,19.2059721750933,52.8024606971975,94,90,53570,21,693
"105","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2012",2850,21,7.52351097178683,18.6694531522118,53.5438596491228,94,88,55715,21,687
"106","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2013",2871,19,8.37370242214533,19.2387543252595,55.1724137931034,94,92,57890,18,761
"107","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2014",2863,12,8.73209919664687,19.7913043478261,54.4,95,90,60145,20,866
"108","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2015",2834,19,8.7,20.6799859796705,55.4,94,91,62540,22,892
"109","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2016",2865,18,9.01838362816511,21.2278876170656,55.1483420593368,95,92,65030,19,822
"110","Colgate (NY)","Northeast",-75.5416267,42.8164607,"NY","2017",2854,19,9.43264879916464,21.6498433693004,54.7652417659425,95,90,67500,12,881
"111","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2008",2866,32,1.24223602484472,16.632160110421,56.0013956734124,NA,NA,47502,NA,629
"112","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2009",2897,35,1.22783083219645,18.0763983628922,54.6082153952364,95,92,49342,NA,490
"113","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2010",2862,37,1.13832355984822,19.6619523973784,53.8434661076171,96,94,50832,36,522
"114","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2011",2872,33,1.13597246127367,21.617900172117,52.7855153203343,95,89,52758,32,608
"115","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2012",2891,35,0.991114149008886,21.6678058783322,50.7436873054307,95,93,55130,29,590
"116","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2013",2877,35,0.892857142857143,22.2184065934066,50.0173792144595,95,91,56232,32,635
"117","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2014",2904,33,1.44628099173554,22.9826353421859,49.5,95,93,58042,25,726
"118","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2015",2885,31,2.1,22.2222222222222,50.3,95,91,59924,34,721
"119","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2016",2910,31,3.12818769126148,22.6113566814009,50.9621993127148,95,92,62165,32,681
"120","Coll Holy Cross (MA)","Northeast",-71.8101495,42.2392391,"MA","2017",3020,31,3.7037037037037,22.9105211406096,51.9205298013245,95,92,64320,32,749
"121","Colorado (CO)","West",-104.8279233,38.847962,"CO","2008",1972,24,3.90781563126252,15.7314629258517,54.1075050709939,NA,NA,45140,NA,492
"122","Colorado (CO)","West",-104.8279233,38.847962,"CO","2009",1966,34,5.1,15.45,53.0518819938962,93,83,47102,NA,401
"123","Colorado (CO)","West",-104.8279233,38.847962,"CO","2010",2040,25,5.66585956416465,17.5786924939467,53.2843137254902,94,87,49098,24,460
"124","Colorado (CO)","West",-104.8279233,38.847962,"CO","2011",2008,18,5.97235932872656,18.5587364264561,53.6852589641434,95,85,50250,26,542
"125","Colorado (CO)","West",-104.8279233,38.847962,"CO","2012",1983,25,5.83832335329341,19.8705179282869,54.160363086233,95,87,51620,27,533
"126","Colorado (CO)","West",-104.8279233,38.847962,"CO","2013",2025,15,6.7156862745098,23.4313725490196,54.8641975308642,95,88,54534,28,593
"127","Colorado (CO)","West",-104.8279233,38.847962,"CO","2014",2036,14,6.38506876227898,24.6341463414634,53.4,95,90,57162,31,680
"128","Colorado (CO)","West",-104.8279233,38.847962,"CO","2015",2096,22,6.6,26.2983947119924,53.5,96,87,60211,27,720
"129","Colorado (CO)","West",-104.8279233,38.847962,"CO","2016",2084,17,8.32936696811042,24.9405045216564,54.0786948176583,95,86,62560,25,683
"130","Colorado (CO)","West",-104.8279233,38.847962,"CO","2017",2091,16,8.97009966777409,24.5372567631704,53.5628885700622,95,87,64894,24,743
"131","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2008",1803,42,4.49864498644986,14.0379403794038,59.7892401552967,NA,NA,49385,NA,216
"132","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2009",1839,67,3.83001049317943,14.585519412382,61.3920609026645,91,81,51115,NA,165
"133","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2010",1832,48,4.41489361702128,16.1170212765957,60.4257641921397,91,88,53110,42,179
"134","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2011",1855,41,4.37763713080169,16.3502109704641,61.078167115903,90,85,54970,41,213
"135","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2012",1884,42,4.15368639667705,15.9397715472482,59.5010615711253,90,87,56790,37,211
"136","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2013",1877,38,5.16782099094299,20.5744125326371,60.4688332445392,90,84,58780,41,237
"137","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2014",1873,20,5.33902829684997,18.1722134178553,61.8,90,85,60895,45,278
"138","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2015",1857,61,6.5,19.4994786235662,62.6,90,84,62965,45,284
"139","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2016",1819,46,6.70241286863271,19.8391420911528,63.001649257834,90,83,65000,48,274
"140","Connecticut (CT)","Northeast",-72.1067756,41.3786876,"CT","2017",1766,51,7.31975784259769,19.0423775454045,62.9671574178935,90,83,67440,50,300
"141","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2008",1668,0,3.77697841726619,14.4484412470024,51.0191846522782,NA,NA,42950,NA,501
"142","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2009",1743,0,3.55708548479633,16.7527251864601,50.8892713711991,96,92,45030,NA,369
"143","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2010",1742,0,4.01836969001148,17.6808266360505,49.8851894374282,96,94,47029,8,428
"144","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2011",1755,0,4.61538461538462,18.9173789173789,49.4586894586895,96,91,49723,9,510
"145","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2012",1790,0,4.6927374301676,20.5586592178771,49.8324022346369,96,91,52155,11,511
"146","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2013",1788,0,5.53691275167785,22.6510067114094,50.2796420581655,96,92,54683,12,565
"147","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2014",1770,0,5.64971751412429,23.4463276836158,50.6,97,93,58146,9,649
"148","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2015",1784,0,6.3,24.3273542600897,50.4,96,92,60119,11,683
"149","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2016",1796,0,6.95991091314031,24.2204899777283,49.1629464285714,96,93,61923,9,649
"150","Davidson (NC)","South",-80.8563035,35.4812644,"NC","2017",1810,0,6.74033149171271,25.1381215469613,49.3,96,93,63903,9,716
"151","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2008",2118,46,8.68761552680222,12.1996303142329,51.6052880075543,NA,NA,48550,NA,335
"152","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2009",2127,48,8.13793103448276,13.6551724137931,51.4339445228021,92,84,50410,NA,249
"153","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2010",2288,47,8.82226980728051,13.9186295503212,52.6660839160839,92,79,52060,43,266
"154","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2011",2324,39,9.26787981379602,15.0232754972493,52.3235800344234,92,85,54110,41,303
"155","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2012",2307,58,10.3594080338266,15.9408033826638,52.0156046814044,93,87,56110,42,285
"156","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2013",2258,39,13.0646589902569,19.0248149760557,51.3286093888397,93,85,58295,46,306
"157","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2014",2174,35,13.6614535418583,20.1448619284744,50.5,93,83,60799,45,339
"158","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2015",2217,32,14.3,20.8092485549133,51.9,93,87,63170,37,335
"159","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2016",2225,30,15.0776053215078,21.5521064301552,52.9887640449438,92,87,65410,40,306
"160","Franklin & Marshall (PA)","Northeast",-76.3221114,40.0487391,"PA","2017",2263,20,15.4621112571178,23.4778799824792,54.1758727353071,92,87,67960,47,341
"161","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2008",1646,32,10.9058402860548,19.1299165673421,53.4629404617254,NA,NA,43700,NA,1472
"162","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2009",1633,55,10.4857819905213,21.0900473933649,52.9699938763013,93,87,45012,NA,1076
"163","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2010",1609,46,11.9033232628399,22.6586102719033,54.6302050963331,93,86,46362,14,1265
"164","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2011",1646,47,11.2817483756645,23.7448316597755,54.678007290401,94,84,49144,18,1500
"165","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2012",1615,59,11.8279569892473,24.1935483870968,54.6749226006192,94,87,50618,19,1384
"166","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2013",1664,57,12.2022080185938,25.4503195816386,54.8677884615385,94,88,53654,22,1554
"167","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2014",1672,62,13.6363636363636,25.3171856978085,55.1,94,90,56617,17,1830
"168","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2015",1665,40,15.6,25.2199413489736,55.2,94,86,58398,19,1788
"169","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2016",1658,41,17.8928781636257,25.5444379046498,55.1266586248492,94,89,60738,19,1649
"170","Grinnell (IA)","Midwest",-92.7605302,41.7294783,"IA","2017",1662,50,19.0420560747664,24.7079439252336,53.7304452466907,94,86,63114,19,1871
"171","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2008",1835,37,5.34188034188034,16.2393162393162,51.8801089918256,NA,NA,48410,NA,670
"172","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2009",1851,31,5.04782146652497,17.2157279489904,52.998379254457,93,88,49860,NA,489
"173","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2010",1844,17,4.5674368619022,18.4846856528748,53.3080260303688,94,91,51760,21,553
"174","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2011",1844,20,4.82832618025751,18.8841201716738,52.9826464208243,95,86,53470,18,658
"175","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2012",1868,16,4.77707006369427,20.3290870488323,51.2847965738758,95,88,55620,17,635
"176","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2013",1905,21,4.60974332111053,22.0145379023884,51.3910761154856,95,89,57790,16,710
"177","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2014",1894,6,4.69904963041183,21.8947368421053,51.4,95,91,59970,14,859
"178","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2015",1862,10,5.8,22.9700854700855,51.2,95,93,62070,15,856
"179","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2016",1868,11,6.49281532730176,22.0862160723789,51.4453961456103,95,91,64850,14,817
"180","Hamilton (NY)","Northeast",-75.4072916,43.0537941,"NY","2017",1886,11,6.37849235635213,24.0906694781234,53.0222693531283,95,92,66170,12,906
"181","Haverford (PA)","Northeast",-75.3351906,40.0065596,"PA","2008",1169,0,3.25064157399487,28.2292557741659,53.1223267750214,NA,NA,48975,NA,521
"182","Haverford (PA)","Northeast",-75.3351906,40.0065596,"PA","2009",1190,0,2.77310924369748,24.5378151260504,54.7899159663866,96,91,50975,NA,336
