"","college","Region","lon","lat","year","fulltime","parttime","international","SOC","female","retention","graduation","tuition","rank","endowment","state"
"17","Grinnell","Midwest",-92.7605302,41.7294783,"2017",1662,50,19.0420560747664,24.7079439252336,53.7304452466907,94,86,63114,19,1871,"IA"
"18","Hamilton","Northeast",-75.4072916,43.0537941,"2017",1886,11,6.37849235635213,24.0906694781234,53.0222693531283,95,92,66170,12,906,"NY"
"19","Haverford","Northeast",-75.3351906,40.0065596,"2017",1294,2,9.33641975308642,30.9413580246914,52.0092735703246,97,90,68952,12,512,"PA"
"20","Kenyon","Midwest",-82.4004966,40.3718965,"2017",1661,16,5.60524746571258,19.1413237924866,55.8097531607465,95,87,65840,27,238,"OH"
"21","Lafayette","Northeast",-75.2109185,40.6986202,"2017",2551,43,10.0231303006939,18.5042405551272,51.9012152097217,94,90,66640,36,790,"PA"
"22","Lawrence","Midwest",-88.4017769,44.2608327,"2017",1434,39,12.2878479293958,22.6069246435845,53.5564853556485,89,76,56133,60,318,"WI"
"23","Macalester","Midwest",-93.1691354,44.9378933,"2017",2093,43,15.5430711610487,23.12734082397,60.2962255136168,95,90,64136,24,748,"MN"
"24","Middlebury","Northeast",-73.2219192,44.006978,"2017",2531,30,10.8551347130027,24.599765716517,51.7186882655077,96,94,67464,4,1074,"VT"
"25","Mt Holyoke","Northeast",-72.5783281,42.2532535,"2017",2161,49,27.3755656108597,25.8823529411765,100,91,85,62000,36,729,"MA"
"26","Oberlin","Midwest",-82.233834,41.2843306,"2017",2793,34,10.2228510788822,24.8319773611602,57.6083064804869,93,88,68672,24,838,"OH"
"27","Occidental","West",-118.2123031,34.1273187,"2017",2035,20,6.81265206812652,40.6812652068126,57.8869778869779,93,88,68076,44,413,"CA"
"28","Pomona","West",-117.7139917,34.0977429,"2017",1682,21,11.5091015854375,47.3282442748092,50.2972651605232,98,94,67225,7,2167,"CA"
"29","Reed","West",-122.6329927,45.4816194,"2017",1408,39,11.0573600552868,26.8140981340705,53.90625,92,78,68270,87,540,"OR"
"30","Sarah Lawrence","Northeast",-73.8458457,40.9345909,"2017",NA,NA,NA,NA,NA,85,79,69280,59,104,"NY"
"31","Scripps","West",-117.7124015,34.1039348,"2017",1056,3,5.57129367327668,37.6770538243626,100,93,92,69260,23,306,"CA"
"32","Smith","Northeast",-72.6446869,42.3162992,"2017",2505,16,13.8833796112654,32.4077746925823,99.9600798403194,93,87,66774,12,1767,"MA"
"33","Swarthmore","Northeast",-75.3582387,39.9014616,"2017",1637,4,12.8580134064595,43.1444241316271,50.7635919364691,97,94,65774,4,1956,"PA"
"34","Trinity","Northeast",-72.6925232,41.7479332,"2017",2117,104,11.8,20.3,50.1,89,86,68970,38,577,"CT"
"35","U of South, Sewanee","South",-85.9311316,35.2039548,"2017",1687,15,3.11398354876616,14.8648648648649,52.6970954356846,89,78,NA,47,395,"TN"
"36","Union","Northeast",-73.9317874,42.8177125,"2017",2176,91,7.14600794000882,19.2324658138509,46.6911764705882,92,88,66609,38,423,"NY"
"37","Vassar","Northeast",-73.8978889,41.6867992,"2017",2334,19,8.15979600509987,35.2741181470463,59.0402742073693,95,91,68110,12,1003,"NY"
"38","Washington & Lee","Northeast",-79.447145,37.7904861,"2017",1823,4,3.50301039956212,13.1910235358511,48.2720789906747,96,91,62080,11,NA,"VA"
"39","Wellesley","Northeast",-71.3134479,42.2995216,"2017",2374,134,13.0382775119617,45.414673046252,100,96,93,66984,3,1931,"MA"
"40","Wesleyan U","Northeast",-72.6590928,41.5566104,"2017",2896,80,12.0631720430108,31.6532258064516,54.0400552486188,95,94,67270,21,898,"CT"
"41","Williams","Northeast",-73.2058283,42.7129581,"2017",2018,43,8.24842309558467,39.155749636099,46.9772051536174,97,96,67700,1,2509,"MA"
"42","Sewanee",NA,NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,58000,NA,NA,"TN"
"43","Washington & Lee",NA,NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,1547,"VA *"
